Freq (MHz),re(S11),im(S11),re(Z),im(Z)
1692.092,0.73292,-0.25233,147.832,-186.907
1697.898,0.73391,-0.27272,133.282,-187.848
1703.704,0.72710,-0.29886,116.613,-182.462
1709.510,0.72499,-0.32311,102.759,-179.476
1715.315,0.71953,-0.34629,91.238,-174.384
1721.121,0.71549,-0.36996,80.621,-169.849
1726.927,0.70938,-0.39139,72.291,-164.695
1732.733,0.69959,-0.41562,64.232,-158.039
1738.539,0.69746,-0.42896,59.799,-155.680
1744.344,0.69308,-0.44791,54.102,-151.924
1750.150,0.68365,-0.46837,49.031,-146.619
1755.956,0.67791,-0.48591,44.775,-142.977
1761.762,0.67112,-0.50552,40.422,-138.990
1767.568,0.66381,-0.52272,37.038,-135.328
1773.373,0.66062,-0.53502,34.544,-133.280
1779.179,0.65241,-0.55252,31.576,-129.671
1784.985,0.64100,-0.57227,28.664,-125.396
1790.791,0.63105,-0.58659,26.831,-122.153
1796.597,0.62650,-0.60046,24.691,-120.078
1802.402,0.61675,-0.61524,22.945,-117.099
1808.208,0.60855,-0.62988,21.175,-114.527
1814.014,0.60141,-0.64301,19.643,-112.348
1819.820,0.59302,-0.65423,18.555,-110.205
1825.626,0.58542,-0.66826,17.036,-108.054
1831.431,0.57841,-0.68268,15.486,-106.040
1837.237,0.57503,-0.69051,14.644,-105.037
1843.043,0.56458,-0.70230,13.768,-102.853
1848.849,0.56218,-0.70918,13.030,-102.095
1854.655,0.55287,-0.72455,11.682,-99.952
1860.460,0.54644,-0.73244,11.112,-98.687
1866.266,0.54028,-0.74218,10.318,-97.376
1872.072,0.53454,-0.75164,9.551,-96.164
1877.878,0.52516,-0.76056,9.066,-94.606
1883.684,0.51838,-0.76506,8.930,-93.611
1889.489,0.50972,-0.77445,8.356,-92.181
1895.295,0.50558,-0.78131,7.834,-91.392
1901.101,0.49565,-0.78797,7.622,-90.027
1906.907,0.49037,-0.79529,7.119,-89.137
1912.713,0.48122,-0.79868,7.195,-88.055
1918.519,0.47073,-0.80991,6.541,-86.521
1924.324,0.46890,-0.81329,6.290,-86.198
1930.130,0.45871,-0.81853,6.210,-84.999
1935.936,0.45268,-0.82321,6.008,-84.239
1941.742,0.44964,-0.82852,5.628,-83.745
1947.548,0.43634,-0.83395,5.633,-82.309
1953.353,0.43410,-0.83830,5.319,-81.946
1959.159,0.41709,-0.84369,5.431,-80.230
1964.965,0.42054,-0.84637,5.075,-80.445
1970.771,0.41153,-0.85290,4.805,-79.433
1976.577,0.40737,-0.85449,4.804,-79.020
