Freq (MHz),re(S11),im(S11),re(Z),im(Z)
3938.939,-0.03445,-0.88916,5.595,-47.787
3944.745,-0.02845,-0.88197,6.028,-48.049
3950.551,-0.04675,-0.88091,5.926,-47.065
3956.356,-0.05196,-0.87056,6.421,-46.691
3962.162,-0.05888,-0.86920,6.421,-46.315
3967.968,-0.06380,-0.86377,6.652,-46.000
3973.774,-0.05427,-0.84964,7.504,-46.343
3979.580,-0.06733,-0.85330,7.158,-45.696
3985.385,-0.06548,-0.83890,7.938,-45.617
3991.191,-0.07093,-0.83702,7.967,-45.306
3996.997,-0.07550,-0.83153,8.194,-44.993
4002.803,-0.08040,-0.81442,9.021,-44.491
4008.609,-0.08252,-0.80765,9.344,-44.275
4014.414,-0.07694,-0.79507,10.099,-44.369
4020.220,-0.09780,-0.78018,10.523,-43.012
4026.026,-0.08979,-0.76820,11.301,-43.211
4031.832,-0.08901,-0.76217,11.636,-43.137
4037.638,-0.10499,-0.74471,12.232,-41.942
4043.443,-0.09773,-0.73123,13.099,-42.032
4049.249,-0.09586,-0.71983,13.747,-41.873
4055.055,-0.10064,-0.69492,14.960,-41.015
4060.861,-0.09836,-0.68445,15.579,-40.866
4066.667,-0.10573,-0.66983,16.159,-40.078
4072.472,-0.10573,-0.65914,16.727,-39.777
4078.278,-0.10670,-0.63743,17.850,-39.080
4084.084,-0.10414,-0.62401,18.644,-38.794
4089.890,-0.09430,-0.60768,19.845,-38.785
4095.696,-0.09882,-0.58984,20.649,-37.924
4101.502,-0.09246,-0.57359,21.755,-37.675
4107.307,-0.09265,-0.55486,22.758,-36.948
4113.113,-0.08411,-0.53726,24.054,-36.699
4118.919,-0.08028,-0.51541,25.404,-35.976
4124.725,-0.07522,-0.49754,26.602,-35.447
4130.531,-0.06306,-0.48019,28.127,-35.290
4136.336,-0.05328,-0.46302,29.566,-34.977
4142.142,-0.04378,-0.44299,31.183,-34.455
4147.948,-0.02893,-0.42600,32.966,-34.350
4153.754,-0.01700,-0.40866,34.659,-34.018
4159.560,-0.00308,-0.39201,36.485,-33.798
4165.365,0.01356,-0.37541,38.549,-33.699
4171.171,0.03350,-0.36297,40.678,-34.054
4176.977,0.04765,-0.34407,42.880,-33.556
4182.783,0.06469,-0.33177,44.967,-33.686
4188.589,0.08174,-0.31799,47.240,-33.674
4194.394,0.10526,-0.30795,49.928,-34.393
4200.200,0.12219,-0.29799,52.148,-34.677
4206.006,0.14225,-0.28984,54.636,-35.358
4211.812,0.16633,-0.28174,57.656,-36.382
4217.618,0.18591,-0.27653,60.130,-37.409
4223.423,0.20717,-0.27390,62.681,-38.928
4229.229,0.23358,-0.26820,66.242,-40.677
4235.035,0.25811,-0.26285,69.758,-42.431
4240.841,0.27307,-0.26815,71.087,-44.667
4246.647,0.29725,-0.26731,74.313,-47.285
