Freq (MHz),re(S11),im(S11),re(Z),im(Z)
1378.579,-0.36017,0.91412,0.645,34.037
1384.384,-0.35503,0.91576,0.661,34.237
1390.190,-0.34889,0.91642,0.723,34.460
1395.996,-0.34626,0.91870,0.679,34.584
1401.802,-0.34152,0.91996,0.700,34.768
1407.608,-0.33831,0.92091,0.710,34.894
1413.413,-0.33502,0.92358,0.659,35.047
1419.219,-0.33144,0.92542,0.642,35.199
1425.025,-0.32616,0.92686,0.660,35.406
1430.831,-0.32259,0.93069,0.569,35.585
1436.637,-0.31983,0.93097,0.594,35.688
1442.442,-0.31690,0.93355,0.538,35.827
1448.248,-0.31227,0.93258,0.632,35.982
1454.054,-0.30806,0.93429,0.623,36.158
1459.860,-0.30429,0.93623,0.599,36.320
1465.666,-0.30068,0.93714,0.610,36.465
1471.471,-0.29649,0.93954,0.572,36.649
1477.277,-0.29361,0.94062,0.567,36.769
1483.083,-0.29071,0.94027,0.615,36.873
1488.889,-0.28695,0.94403,0.519,37.058
1494.695,-0.28215,0.94411,0.573,37.239
1500.501,-0.27826,0.94641,0.531,37.413
1506.306,-0.27211,0.94700,0.580,37.653
1512.112,-0.26898,0.94554,0.671,37.756
1517.918,-0.26616,0.94539,0.709,37.862
1523.724,-0.26110,0.94780,0.673,38.084
1529.530,-0.25523,0.94732,0.757,38.306
1535.335,-0.25044,0.95026,0.695,38.525
1541.141,-0.24813,0.94831,0.796,38.594
1546.947,-0.24340,0.94938,0.806,38.792
1552.753,-0.23953,0.94660,0.957,38.915
1558.559,-0.23432,0.94942,0.901,39.152
1564.364,-0.23054,0.94956,0.935,39.305
1570.170,-0.22793,0.95137,0.890,39.428
1575.976,-0.22128,0.95148,0.954,39.697
1581.782,-0.22044,0.95215,0.935,39.738
1587.588,-0.21430,0.95096,1.045,39.976
1593.393,-0.20932,0.95330,1.000,40.203
1599.199,-0.20554,0.95234,1.076,40.348
1605.005,-0.19976,0.95388,1.069,40.603
1610.811,-0.19730,0.95508,1.042,40.716
1616.617,-0.19270,0.95534,1.075,40.910
1622.422,-0.18578,0.95449,1.174,41.193
1628.228,-0.18402,0.95772,1.055,41.297
1634.034,-0.17909,0.95690,1.133,41.498
1639.840,-0.17604,0.95470,1.254,41.608
1645.646,-0.16987,0.95697,1.212,41.892
1651.451,-0.16686,0.96058,1.082,42.052
1657.257,-0.16079,0.95917,1.194,42.302
1663.063,-0.15491,0.96058,1.181,42.569
1668.869,-0.15250,0.96098,1.183,42.677
1674.675,-0.14716,0.96407,1.089,42.935
1680.480,-0.14501,0.96582,1.028,43.043
1686.286,-0.13756,0.96555,1.096,43.369
1692.092,-0.13422,0.96628,1.087,43.523
1697.898,-0.13075,0.96334,1.244,43.657
1703.704,-0.12555,0.96839,1.054,43.925
1709.510,-0.12156,0.96782,1.106,44.100
1715.315,-0.11780,0.97089,0.992,44.290
1721.121,-0.11626,0.97090,1.001,44.360
1726.927,-0.11024,0.97252,0.965,44.643
1732.733,-0.10513,0.97533,0.867,44.893
1738.539,-0.10045,0.97546,0.888,45.108
1744.344,-0.09854,0.97476,0.930,45.192
