Freq (MHz),re(S11),im(S11),re(Z),im(Z)
4124.725,-0.06959,-0.12945,42.144,-11.152
4130.531,-0.07625,-0.12391,41.700,-10.557
4136.336,-0.08213,-0.11710,41.341,-9.884
4142.142,-0.08855,-0.10957,40.944,-9.154
4147.948,-0.09308,-0.10287,40.682,-8.534
4153.754,-0.09815,-0.09507,40.385,-7.825
4159.560,-0.10251,-0.08705,40.141,-7.117
4165.365,-0.10487,-0.07905,40.047,-6.443
4171.171,-0.10821,-0.07249,39.851,-5.878
4176.977,-0.10946,-0.06441,39.831,-5.215
4182.783,-0.11025,-0.05770,39.828,-4.668
4188.589,-0.11211,-0.04943,39.742,-3.989
4194.394,-0.11084,-0.04464,39.877,-3.612
4200.200,-0.11144,-0.03761,39.871,-3.041
4206.006,-0.11079,-0.03235,39.950,-2.620
4211.812,-0.10767,-0.02690,40.226,-2.191
4217.618,-0.10855,-0.02273,40.170,-1.849
4223.423,-0.10873,-0.01961,40.165,-1.595
4229.229,-0.10559,-0.01510,40.433,-1.235
4235.035,-0.10374,-0.01188,40.591,-0.975
4240.841,-0.10558,-0.01133,40.440,-0.927
4246.647,-0.10265,-0.00656,40.687,-0.539
4252.452,-0.10199,-0.00360,40.744,-0.297
4258.258,-0.10224,-0.00228,40.724,-0.188
4264.064,-0.10310,0.00012,40.654,0.010
4269.870,-0.10338,0.00135,40.630,0.111
4275.676,-0.10468,0.00392,40.523,0.322
4281.481,-0.10578,0.00729,40.430,0.597
4287.287,-0.10796,0.01192,40.245,0.971
4293.093,-0.11068,0.00988,40.028,0.801
4298.899,-0.11301,0.01431,39.832,1.155
4304.705,-0.11517,0.01436,39.657,1.155
4310.511,-0.12006,0.02352,39.241,1.874
4316.316,-0.12465,0.03048,38.852,2.408
4322.122,-0.12605,0.03138,38.737,2.473
4327.928,-0.12962,0.03505,38.441,2.744
4333.734,-0.14078,0.04514,37.522,3.463
4339.540,-0.14218,0.05425,37.355,4.149
4345.345,-0.14051,0.05683,37.463,4.358
4351.151,-0.14569,0.06660,36.989,5.057
4356.957,-0.14755,0.07182,36.802,5.432
4362.763,-0.14911,0.08153,36.588,6.144
4368.569,-0.15398,0.09111,36.120,6.799
4374.374,-0.15735,0.10119,35.749,7.497
4380.180,-0.15618,0.10829,35.739,8.031
4385.986,-0.15555,0.11740,35.655,8.702
4391.792,-0.16002,0.12684,35.187,9.314
4397.598,-0.15823,0.13466,35.187,9.904
4403.403,-0.16256,0.14266,34.741,10.399
4409.209,-0.15687,0.15037,35.004,11.049
4415.015,-0.15534,0.15823,34.961,11.636
4420.821,-0.15310,0.16665,34.949,12.277
4426.627,-0.15221,0.17368,34.862,12.792
4432.432,-0.14490,0.18229,35.185,13.563
4438.238,-0.14203,0.18825,35.247,14.052
4444.044,-0.13835,0.19484,35.346,14.608
4449.850,-0.13475,0.20200,35.418,15.206
4455.656,-0.13125,0.20694,35.536,15.647
4461.461,-0.12568,0.21180,35.798,16.143
4467.267,-0.11903,0.21679,36.130,16.686
4473.073,-0.11440,0.21988,36.372,17.042
4478.879,-0.11031,0.22271,36.582,17.367
4484.685,-0.10478,0.22648,36.866,17.807
4490.490,-0.09872,0.23050,37.178,18.289
4496.296,-0.09584,0.23532,37.231,18.732
4502.102,-0.09214,0.23488,37.515,18.822
4507.908,-0.08742,0.23720,37.783,19.148
4513.714,-0.08227,0.24361,37.943,19.795
4519.520,-0.07822,0.24783,38.091,20.248
4525.325,-0.07764,0.24577,38.208,20.117
4531.131,-0.07399,0.24857,38.377,20.454
4536.937,-0.07045,0.25618,38.358,21.146
4542.743,-0.06735,0.25913,38.475,21.480
4548.549,-0.06538,0.26377,38.442,21.897
4554.354,-0.06374,0.26885,38.363,22.333
4560.160,-0.06031,0.27166,38.502,22.675
4565.966,-0.05887,0.27942,38.292,23.299
4571.772,-0.05726,0.28111,38.339,23.489
4577.578,-0.05402,0.28391,38.457,23.827
4583.383,-0.05274,0.29482,38.082,24.667
4589.189,-0.04669,0.30137,38.225,25.402
4594.995,-0.04474,0.30050,38.404,25.428
4600.801,-0.04890,0.31392,37.500,26.187
4606.607,-0.03615,0.31339,38.422,26.743
4612.412,-0.03271,0.32503,38.105,27.730
4618.218,-0.03548,0.32971,37.683,27.920
4624.024,-0.02294,0.33114,38.485,28.644
4629.830,-0.01916,0.34160,38.210,29.566
4635.636,-0.01774,0.34495,38.133,29.871
4641.441,-0.01339,0.35883,37.685,31.049
4647.247,-0.01408,0.35316,37.945,30.627
4653.053,-0.00039,0.35893,38.561,31.774
4658.859,0.00864,0.36113,39.054,32.441
4664.665,0.00259,0.36085,38.655,32.075
4670.470,0.01836,0.36714,39.369,33.425
4676.276,0.02382,0.36726,39.738,33.762
4682.082,0.02813,0.36626,40.098,33.955
4687.888,0.03333,0.37145,40.139,34.636
4693.694,0.04196,0.37336,40.618,35.315
4699.499,0.04212,0.37383,40.599,35.358
4705.305,0.05572,0.37536,41.451,36.352
4711.111,0.05455,0.37787,41.202,36.451
4716.917,0.06384,0.37944,41.747,37.187
4722.723,0.06732,0.38030,41.933,37.486
4728.529,0.07466,0.38126,42.385,38.065
4734.334,0.07946,0.38315,42.591,38.539
4740.140,0.08588,0.38246,43.098,38.951
4745.946,0.09172,0.38441,43.373,39.518
4751.752,0.09927,0.38011,44.239,39.768
4757.558,0.10429,0.38107,44.533,40.218
4763.363,0.10541,0.38021,44.681,40.240
4769.169,0.11340,0.38015,45.275,40.851
4774.975,0.12019,0.37816,45.937,41.236
4780.781,0.12398,0.37825,46.215,41.544
4786.587,0.13014,0.38056,46.492,42.215
4792.392,0.13783,0.38259,46.904,43.001
4798.198,0.13925,0.38592,46.733,43.370
4804.004,0.14540,0.38495,47.276,43.818
4809.810,0.15501,0.38600,47.912,44.727
4815.616,0.16383,0.39926,47.389,46.502
4821.421,0.16325,0.39115,48.078,45.848
4827.227,0.16594,0.39564,47.872,46.426
4833.033,0.17051,0.39558,48.218,46.841
4838.839,0.17712,0.39254,48.996,47.225
4844.645,0.18167,0.39782,48.841,48.050
4850.450,0.19548,0.39668,49.989,49.302
4856.256,0.19559,0.40141,49.530,49.667
4862.062,0.19981,0.40507,49.479,50.358
4867.868,0.20574,0.40858,49.557,51.214
4873.674,0.20946,0.41274,49.401,51.896
4879.479,0.21717,0.40626,50.637,52.227
4885.285,0.22458,0.40335,51.499,52.797
4891.091,0.23408,0.40688,51.827,54.093
4896.897,0.23240,0.40932,51.434,54.089
4902.703,0.23403,0.40838,51.657,54.199
4908.509,0.25363,0.40811,53.144,56.399
4914.314,0.25557,0.40964,53.109,56.739
4920.120,0.26363,0.40789,53.916,57.562
4925.926,0.26638,0.40700,54.230,57.825
4931.732,0.27249,0.40035,55.505,58.059
4937.538,0.28048,0.41338,54.491,60.033
4943.343,0.27904,0.40155,55.863,58.963
4949.149,0.29775,0.41184,55.958,62.139
4954.955,0.29964,0.39461,58.378,61.064
4960.761,0.29542,0.39294,58.258,60.375
4966.567,0.30487,0.38948,59.487,61.345
4972.372,0.31464,0.38533,60.864,62.332
4978.178,0.31936,0.38041,61.951,62.569
4983.984,0.32267,0.37640,62.804,62.686
4989.790,0.32663,0.37689,63.082,63.292
4995.596,0.32837,0.37380,63.680,63.269
5001.401,0.33479,0.37092,64.674,63.943
5007.207,0.33567,0.36927,64.997,63.922
5013.013,0.34459,0.35799,67.516,64.188
5018.819,0.35197,0.35575,68.578,65.096
5024.625,0.35694,0.35255,69.568,65.552
5030.430,0.35850,0.35603,69.175,66.143
5036.236,0.35560,0.35705,68.732,65.787
5042.042,0.37091,0.33908,73.175,66.391
5047.848,0.36801,0.34392,72.077,66.433
5053.654,0.37362,0.33637,73.913,66.543
5059.459,0.37875,0.33952,73.946,67.737
5065.265,0.38173,0.33135,75.652,67.340
5071.071,0.38779,0.32559,77.329,67.717
5076.877,0.39271,0.32157,78.606,68.098
5082.683,0.40237,0.32584,78.984,70.326
5088.488,0.40392,0.32963,78.476,71.045
5094.294,0.40921,0.31797,81.246,70.637
5100.100,0.41379,0.32528,80.429,72.372
5105.906,0.42379,0.31429,83.754,72.955
5111.712,0.43185,0.31896,83.830,75.132
5117.518,0.43545,0.32101,83.853,76.111
5123.323,0.44218,0.31405,86.124,76.637
5129.129,0.45243,0.31564,87.076,79.017
5134.935,0.45261,0.31070,88.170,78.425
5140.741,0.45969,0.30471,90.419,79.190
5146.547,0.46735,0.30583,91.193,81.069
5152.352,0.46920,0.29675,93.533,80.244
5158.158,0.46318,0.30466,90.899,79.965
5163.964,0.46679,0.29456,93.692,79.379
5169.770,0.47038,0.29379,94.386,80.092
5175.576,0.48438,0.28244,99.180,81.715
5181.381,0.48699,0.27879,100.486,81.781
5187.187,0.48556,0.27477,101.240,80.778
5192.993,0.48898,0.27640,101.397,81.887
5198.799,0.48649,0.27259,101.926,80.650
5204.605,0.49571,0.27309,103.332,83.034
5210.410,0.49795,0.26738,105.170,82.640
5216.216,0.49892,0.26180,106.774,81.908
5222.022,0.50488,0.26228,107.714,83.546
5227.828,0.51166,0.25737,110.262,84.462
5233.634,0.51873,0.25077,113.417,85.150
5239.439,0.51911,0.24567,114.910,84.245
5245.245,0.52492,0.24000,117.694,84.717
5251.051,0.52968,0.23459,120.263,84.924
5256.857,0.53325,0.22308,124.408,83.358
5262.663,0.53619,0.21960,126.123,83.387
5268.468,0.53629,0.21697,126.920,82.780
5274.274,0.53909,0.20867,130.058,81.518
5280.080,0.54036,0.20323,131.983,80.463
5285.886,0.54335,0.20399,132.556,81.551
5291.692,0.54548,0.19557,135.641,79.877
5297.497,0.54763,0.18912,138.171,78.667
5303.303,0.55518,0.18183,142.623,78.740
5309.109,0.55803,0.18652,142.053,81.052
5314.915,0.55735,0.16951,147.021,75.449
5320.721,0.56041,0.16461,149.512,74.708
5326.527,0.56398,0.16656,150.141,76.453
5332.332,0.57116,0.16182,154.123,77.022
5338.138,0.57523,0.16442,154.744,79.255
5343.944,0.58334,0.16658,156.930,82.729
5349.750,0.58389,0.16143,158.883,81.039
5355.556,0.59214,0.15495,164.258,81.395
5361.361,0.60486,0.14282,173.837,80.902
5367.167,0.60118,0.13204,175.969,74.813
5372.973,0.61900,0.12420,187.254,77.341
5378.779,0.62302,0.12482,189.058,79.153
5384.585,0.62477,0.11181,194.769,72.939
5390.390,0.63028,0.12838,191.369,83.814
5396.196,0.64242,0.09865,209.876,71.695
5402.002,0.62895,0.10328,200.124,69.623
5407.808,0.64444,0.10322,209.386,75.299
5413.614,0.64157,0.10727,206.057,76.635
5419.419,0.65879,0.08422,226.243,68.188
5425.225,0.65456,0.08792,221.877,69.197
5431.031,0.66289,0.07600,232.292,63.638
5436.837,0.65363,0.08015,224.033,63.411
5442.643,0.66630,0.05990,240.315,52.113
5448.448,0.67740,0.04963,252.814,46.587
5454.254,0.66542,0.05359,241.406,46.673
5460.060,0.67966,0.03979,257.421,38.189
5465.866,0.67365,0.03494,252.950,32.434
5471.672,0.67156,0.02713,252.403,24.975
5477.477,0.66907,0.01858,251.230,16.908
5483.283,0.68576,0.00876,267.977,8.860
5489.089,0.67420,0.00513,256.860,4.828
5494.895,0.67446,-0.00198,257.168,-1.865
5500.701,0.67883,-0.01246,260.893,-12.059
5506.507,0.67328,-0.01755,255.191,-16.390
5512.312,0.67173,-0.02146,253.336,-19.826
5518.118,0.66706,-0.03070,247.820,-27.459
5523.924,0.66757,-0.03098,248.224,-27.789
5529.730,0.66460,-0.04319,243.285,-37.762
5535.536,0.66512,-0.04322,243.720,-37.905
5541.341,0.66460,-0.05137,241.321,-44.617
5547.147,0.65790,-0.06199,233.017,-51.284
5552.953,0.66380,-0.06222,237.592,-53.225
5558.759,0.65514,-0.07539,226.746,-60.499
5564.565,0.65885,-0.08254,226.914,-66.995
5570.370,0.65284,-0.07902,223.861,-62.333
5576.176,0.65651,-0.09193,221.668,-72.708
5581.982,0.66127,-0.09344,224.345,-75.684
5587.788,0.66357,-0.11447,216.398,-90.644
